map,scen,agents,seed,variant,solved,soc,makespan,lb,time_ms,forward_calls,rebuilds
random32-20,random-32-32-20-random-1,50,1,vanilla,True,1259,48,1082,24.2,0,0
random32-20,random-32-32-20-random-1,50,2,vanilla,True,1282,48,1082,21.6,0,0
random32-20,random-32-32-20-random-1,50,0,vanilla,True,1476,75,1082,55.0,0,0
random32-20,random-32-32-20-random-1,50,0,tb_step_w10,True,1404,75,1082,250.8,3800,76
random32-20,random-32-32-20-random-1,50,1,pen0.1_step_w10,True,1440,75,1082,267.5,3900,78
random32-20,random-32-32-20-random-1,50,2,tb_step_w10,True,1404,73,1082,229.8,3700,74
random32-20,random-32-32-20-random-1,50,1,tb_step_wall,True,1412,75,1082,370.6,3850,77
random32-20,random-32-32-20-random-1,50,0,pen0.1_step_w10,True,1404,75,1082,388.4,3800,76
random32-20,random-32-32-20-random-1,100,0,vanilla,True,2864,50,2253,44.5,0,0
random32-20,random-32-32-20-random-1,50,1,tb_step_w10,True,1422,75,1082,379.8,3900,78
random32-20,random-32-32-20-random-1,50,2,pen0.1_step_w10,True,1404,73,1082,239.7,3700,74
random32-20,random-32-32-20-random-1,50,0,tb_step_wall,True,1402,73,1082,565.2,3700,74
random32-20,random-32-32-20-random-1,50,2,tb_step_wall,True,1397,73,1082,348.2,3800,76
random32-20,random-32-32-20-random-1,50,0,tb_agent_w10,True,1389,73,1082,644.0,7840,76
random32-20,random-32-32-20-random-1,50,1,tb_agent_w10,True,1407,75,1082,661.3,8235,77
random32-20,random-32-32-20-random-1,100,1,vanilla,True,2975,65,2253,49.0,0,0
random32-20,random-32-32-20-random-1,50,2,tb_agent_w10,True,1394,73,1082,639.6,7487,74
random32-20,random-32-32-20-random-1,100,0,tb_step_w10,True,2953,73,2253,770.8,7600,76
random32-20,random-32-32-20-random-1,100,0,tb_agent_w10,True,2958,73,2253,820.9,15357,76
random32-20,random-32-32-20-random-1,100,1,tb_step_w10,True,2946,77,2253,618.2,7800,78
random32-20,random-32-32-20-random-1,100,2,vanilla,True,3120,68,2253,50.9,0,0
random32-20,random-32-32-20-random-1,100,0,pen0.1_step_w10,True,2957,73,2253,804.7,7600,76
random32-20,random-32-32-20-random-1,100,0,tb_step_wall,True,2966,73,2253,900.3,7600,76
random32-20,random-32-32-20-random-1,100,2,tb_step_w10,True,2898,73,2253,480.0,7400,74
random32-20,random-32-32-20-random-1,100,2,tb_start_w10,True,3808,116,2253,492.8,100,1
random32-20,random-32-32-20-random-1,100,1,tb_step_wall,True,3003,86,2253,1206.0,8800,88
random32-20,random-32-32-20-random-1,100,1,pen0.1_step_w10,True,2940,77,2253,807.7,7800,78
random32-20,random-32-32-20-random-1,100,1,tb_agent_w10,True,2919,77,2253,1343.6,16151,80
random32-20,random-32-32-20-random-1,100,2,tb_agent_w10,True,2948,75,2253,835.0,15349,76
random32-20,random-32-32-20-random-1,150,0,vanilla,True,5032,53,3485,130.4,0,0
random32-20,random-32-32-20-random-1,100,2,pen0.1_step_w10,True,2955,77,2253,510.1,7700,77
random32-20,random-32-32-20-random-1,150,1,vanilla,True,5410,88,3485,89.2,0,0
random32-20,random-32-32-20-random-1,100,2,tb_step_wall,True,2921,75,2253,1171.0,7600,76
random32-20,random-32-32-20-random-1,150,0,tb_start_w10,True,5897,119,3485,950.5,150,1
random32-20,random-32-32-20-random-1,150,0,tb_step_w10,True,4625,63,3485,1183.8,9600,64
random32-20,random-32-32-20-random-1,150,0,tb_step_wall,True,5475,118,3485,1295.6,19650,131
random32-20,random-32-32-20-random-1,150,0,pen0.1_step_w10,True,4634,63,3485,1232.8,9600,64
random32-20,random-32-32-20-random-1,150,2,vanilla,True,5237,68,3485,156.4,0,0
random32-20,random-32-32-20-random-1,150,0,tb_agent_w10,True,4531,48,3485,1949.2,14417,48
random32-20,random-32-32-20-random-1,150,1,tb_agent_w10,True,4562,53,3485,2016.2,16066,53
random32-20,random-32-32-20-random-1,150,1,tb_step_wall,True,5276,93,3485,1976.2,14250,95
random32-20,random-32-32-20-random-1,50,2,tb_start_w10,True,1634,96,1082,5507.1,50,1
random32-20,random-32-32-20-random-1,150,2,tb_agent_w10,True,4658,78,3485,2130.1,24319,80
random32-20,random-32-32-20-random-1,150,2,tb_step_w10,True,4682,78,3485,2855.8,109200,728
random32-20,random-32-32-20-random-1,150,2,tb_step_wall,True,4957,89,3485,1961.6,16200,108
random32-20,random-32-32-20-random-1,150,2,pen0.1_step_w10,True,4833,92,3485,1794.5,74850,499
random32-20,random-32-32-20-random-1,200,0,vanilla,True,9432,223,4429,4905.8,0,0
random32-20,random-32-32-20-random-1,150,1,tb_step_w10,True,5504,129,3485,9199.5,862800,5752
random32-20,random-32-32-20-random-1,200,0,tb_agent_w10,True,6957,94,4429,6235.9,362359,621
