solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",random-32-32-20,random-32-32-20-random-1,50,0,60.0,solved,0.265553,0.13,1426,50,1252,1082,48,1.31793,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/lg_lacam_fork_lacam/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,1426,0.13,"{""agents"": ""50"", ""comp_time"": ""130"", ""makespan"": ""50"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""0"", ""soc"": ""1426"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1277"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",random-32-32-20,random-32-32-20-random-1,50,1,60.0,solved,0.654247,0.171,1469,49,1268,1082,48,1.357671,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/lg_lacam_fork_lacam/random-32-32-20/random-32-32-20-random-1_a50_s1_r0,1469,0.171,"{""agents"": ""50"", ""comp_time"": ""171"", ""makespan"": ""49"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""1"", ""soc"": ""1469"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1299"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:lacam_noswap,"LaCAM (no guidance, no PIBT swap)",random-32-32-20,random-32-32-20-random-1,50,0,60.0,solved,0.156946,0.032,1458,52,1269,1082,48,1.347505,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/lg_lacam_fork_lacam_noswap/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,1458,0.032,"{""agents"": ""50"", ""comp_time"": ""32"", ""makespan"": ""52"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""0"", ""soc"": ""1458"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1291"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:lacam_noswap,"LaCAM (no guidance, no PIBT swap)",random-32-32-20,random-32-32-20-random-1,50,1,60.0,solved,0.812812,0.177,1497,51,1276,1082,48,1.383549,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/lg_lacam_fork_lacam_noswap/random-32-32-20/random-32-32-20-random-1_a50_s1_r0,1497,0.177,"{""agents"": ""50"", ""comp_time"": ""177"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""1"", ""soc"": ""1497"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1303"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:suo,LaCAM3 = SUO (first solution),random-32-32-20,random-32-32-20-random-1,50,0,60.0,solved,0.148474,0.03,1267,48,1167,1082,48,1.17098,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/lg_lacam_fork_suo/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,1267,0.03,"{""agents"": ""50"", ""comp_time"": ""30"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""0"", ""soc"": ""1267"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1172"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:suo,LaCAM3 = SUO (first solution),random-32-32-20,random-32-32-20-random-1,50,1,60.0,solved,0.518292,0.427,1244,51,1168,1082,48,1.149723,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/lg_lacam_fork_suo/random-32-32-20/random-32-32-20-random-1_a50_s1_r0,1244,0.427,"{""agents"": ""50"", ""comp_time"": ""427"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""1"", ""soc"": ""1244"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1178"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:lg,"LG-LaCAM (window 20, first solution)",random-32-32-20,random-32-32-20-random-1,50,0,60.0,solved,0.273099,0.15,1196,48,1138,1082,48,1.10536,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/lg_lacam_fork_lg/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,1196,0.15,"{""agents"": ""50"", ""comp_time"": ""150"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""0"", ""soc"": ""1196"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1141"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:lg,"LG-LaCAM (window 20, first solution)",random-32-32-20,random-32-32-20-random-1,50,1,60.0,solved,0.409317,0.233,1224,48,1143,1082,48,1.131238,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/lg_lacam_fork_lg/random-32-32-20/random-32-32-20-random-1_a50_s1_r0,1224,0.233,"{""agents"": ""50"", ""comp_time"": ""233"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""1"", ""soc"": ""1224"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1149"", ""sum_of_loss_lb"": ""1082""}"
traffic_load_lacam:vanilla,py-LaCAM (vanilla),random-32-32-20,random-32-32-20-random-1,50,0,60.0,solved,0.301083,,1744,75,1436,1082,48,1.61183,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/traffic_load_lacam_vanilla/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,,,
traffic_load_lacam:vanilla,py-LaCAM (vanilla),random-32-32-20,random-32-32-20-random-1,50,1,60.0,solved,0.236152,,1440,48,1231,1082,48,1.330869,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-random32-20/runs/traffic_load_lacam_vanilla/random-32-32-20/random-32-32-20-random-1_a50_s1_r0,,,
