solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",room-32-32-4,room-32-32-4-random-1,50,0,60.0,solved,0.00749,0.001,1652,51,1514,1320,48,1.251515,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/lg_lacam_fork_lacam/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,1652,0.001,"{""agents"": ""50"", ""comp_time"": ""1"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""0"", ""soc"": ""1652"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1533"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",room-32-32-4,room-32-32-4-random-1,50,1,60.0,solved,0.008309,0.002,1701,56,1593,1320,48,1.288636,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/lg_lacam_fork_lacam/room-32-32-4/room-32-32-4-random-1_a50_s1_r0,1701,0.002,"{""agents"": ""50"", ""comp_time"": ""2"", ""makespan"": ""56"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""1"", ""soc"": ""1701"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1610"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:lacam_noswap,"LaCAM (no guidance, no PIBT swap)",room-32-32-4,room-32-32-4-random-1,50,0,60.0,solved,0.027122,0.008,1652,51,1514,1320,48,1.251515,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/lg_lacam_fork_lacam_noswap/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,1652,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""0"", ""soc"": ""1652"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1533"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:lacam_noswap,"LaCAM (no guidance, no PIBT swap)",room-32-32-4,room-32-32-4-random-1,50,1,60.0,solved,0.047874,0.006,1713,58,1603,1320,48,1.297727,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/lg_lacam_fork_lacam_noswap/room-32-32-4/room-32-32-4-random-1_a50_s1_r0,1713,0.006,"{""agents"": ""50"", ""comp_time"": ""6"", ""makespan"": ""58"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""1"", ""soc"": ""1713"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1621"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:suo,LaCAM3 = SUO (first solution),room-32-32-4,room-32-32-4-random-1,50,0,60.0,solved,0.162111,0.023,1512,57,1460,1320,48,1.145455,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/lg_lacam_fork_suo/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,1512,0.023,"{""agents"": ""50"", ""comp_time"": ""23"", ""makespan"": ""57"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""0"", ""soc"": ""1512"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1471"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:suo,LaCAM3 = SUO (first solution),room-32-32-4,room-32-32-4-random-1,50,1,60.0,solved,0.045977,0.01,1486,52,1473,1320,48,1.125758,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/lg_lacam_fork_suo/room-32-32-4/room-32-32-4-random-1_a50_s1_r0,1486,0.01,"{""agents"": ""50"", ""comp_time"": ""10"", ""makespan"": ""52"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""1"", ""soc"": ""1486"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1475"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:lg,"LG-LaCAM (window 20, first solution)",room-32-32-4,room-32-32-4-random-1,50,0,60.0,solved,0.01556,0.008,1476,51,1429,1320,48,1.118182,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/lg_lacam_fork_lg/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,1476,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""0"", ""soc"": ""1476"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1439"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:lg,"LG-LaCAM (window 20, first solution)",room-32-32-4,room-32-32-4-random-1,50,1,60.0,solved,0.015766,0.008,1479,51,1416,1320,48,1.120455,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/lg_lacam_fork_lg/room-32-32-4/room-32-32-4-random-1_a50_s1_r0,1479,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""1"", ""soc"": ""1479"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1428"", ""sum_of_loss_lb"": ""1320""}"
traffic_load_lacam:vanilla,py-LaCAM (vanilla),room-32-32-4,room-32-32-4-random-1,50,0,60.0,solved,0.221075,,1863,61,1655,1320,48,1.411364,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/traffic_load_lacam_vanilla/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,,,
traffic_load_lacam:vanilla,py-LaCAM (vanilla),room-32-32-4,room-32-32-4-random-1,50,1,60.0,solved,0.16762,,1981,74,1718,1320,48,1.500758,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlg-room-32-4/runs/traffic_load_lacam_vanilla/room-32-32-4/room-32-32-4-random-1_a50_s1_r0,,,
