solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
pp_guided_tl:shortest,PP-guided (shortest first),maze-32-32-4,maze-32-32-4-random-1,50,0,30.0,solved,0.032985,0.012,2867,178,2821,2350,92,1.22,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_shortest/maze-32-32-4/maze-32-32-4-random-1_a50_s0_r0,,,"{""agents"": ""50"", ""comp_time"": ""12"", ""first_ms"": ""11.5"", ""makespan"": ""178"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""1"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""9.2"", ""pp_plan_soc"": ""2867"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""0"", ""soc"": ""2867"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2823"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:shortest,PP-guided (shortest first),maze-32-32-4,maze-32-32-4-random-1,50,2,30.0,solved,0.046638,0.012,2867,178,2821,2350,92,1.22,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_shortest/maze-32-32-4/maze-32-32-4-random-1_a50_s2_r0,,,"{""agents"": ""50"", ""comp_time"": ""12"", ""first_ms"": ""11.5"", ""makespan"": ""178"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""1"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""8.9"", ""pp_plan_soc"": ""2867"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""2"", ""soc"": ""2867"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2823"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:shortest_tl,PP-guided (shortest first) + traffic load in SIPP,maze-32-32-4,maze-32-32-4-random-1,50,0,30.0,solved,0.027382,0.014,2996,177,2939,2350,92,1.274894,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_shortest_tl/maze-32-32-4/maze-32-32-4-random-1_a50_s0_r0,,,"{""agents"": ""50"", ""comp_time"": ""14"", ""first_ms"": ""13.4"", ""makespan"": ""177"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""1"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""11.0"", ""pp_plan_soc"": ""2996"", ""pp_tl"": ""1"", ""pp_used"": ""1"", ""seed"": ""0"", ""soc"": ""2996"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2942"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:shortest,PP-guided (shortest first),maze-32-32-4,maze-32-32-4-random-1,50,1,30.0,solved,0.029976,0.012,2867,178,2821,2350,92,1.22,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_shortest/maze-32-32-4/maze-32-32-4-random-1_a50_s1_r0,,,"{""agents"": ""50"", ""comp_time"": ""12"", ""first_ms"": ""11.5"", ""makespan"": ""178"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""1"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""9.2"", ""pp_plan_soc"": ""2867"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""1"", ""soc"": ""2867"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2823"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:shortest_tl,PP-guided (shortest first) + traffic load in SIPP,maze-32-32-4,maze-32-32-4-random-1,50,1,30.0,solved,0.061482,0.014,2996,177,2939,2350,92,1.274894,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_shortest_tl/maze-32-32-4/maze-32-32-4-random-1_a50_s1_r0,,,"{""agents"": ""50"", ""comp_time"": ""14"", ""first_ms"": ""13.3"", ""makespan"": ""177"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""1"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""10.9"", ""pp_plan_soc"": ""2996"", ""pp_tl"": ""1"", ""pp_used"": ""1"", ""seed"": ""1"", ""soc"": ""2996"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2942"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:shortest_tl,PP-guided (shortest first) + traffic load in SIPP,maze-32-32-4,maze-32-32-4-random-1,50,2,30.0,solved,0.042921,0.014,2996,177,2939,2350,92,1.274894,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_shortest_tl/maze-32-32-4/maze-32-32-4-random-1_a50_s2_r0,,,"{""agents"": ""50"", ""comp_time"": ""14"", ""first_ms"": ""13.4"", ""makespan"": ""177"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""1"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""10.9"", ""pp_plan_soc"": ""2996"", ""pp_tl"": ""1"", ""pp_used"": ""1"", ""seed"": ""2"", ""soc"": ""2996"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2942"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:traffic,PP-guided (traffic-last),maze-32-32-4,maze-32-32-4-random-1,50,0,30.0,solved,0.025289,0.008,3806,185,2927,2350,92,1.619574,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_traffic/maze-32-32-4/maze-32-32-4-random-1_a50_s0_r0,,,"{""agents"": ""50"", ""comp_time"": ""8"", ""first_ms"": ""7.4"", ""makespan"": ""185"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""traffic-last"", ""pp_plan_ms"": ""5.1"", ""pp_plan_soc"": ""3806"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""0"", ""soc"": ""3806"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2950"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:traffic,PP-guided (traffic-last),maze-32-32-4,maze-32-32-4-random-1,50,1,30.0,solved,0.031857,0.008,3806,185,2927,2350,92,1.619574,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_traffic/maze-32-32-4/maze-32-32-4-random-1_a50_s1_r0,,,"{""agents"": ""50"", ""comp_time"": ""8"", ""first_ms"": ""7.5"", ""makespan"": ""185"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""traffic-last"", ""pp_plan_ms"": ""5.1"", ""pp_plan_soc"": ""3806"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""1"", ""soc"": ""3806"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2950"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:traffic_tl,PP-guided (traffic-last) + traffic load in SIPP,maze-32-32-4,maze-32-32-4-random-1,50,1,30.0,solved,0.034169,0.009,3049,161,2821,2350,92,1.297447,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_traffic_tl/maze-32-32-4/maze-32-32-4-random-1_a50_s1_r0,,,"{""agents"": ""50"", ""comp_time"": ""9"", ""first_ms"": ""9.1"", ""makespan"": ""161"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""traffic-last"", ""pp_plan_ms"": ""6.1"", ""pp_plan_soc"": ""3049"", ""pp_tl"": ""1"", ""pp_used"": ""1"", ""seed"": ""1"", ""soc"": ""3049"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2836"", ""sum_of_loss_lb"": ""2350""}"
pp_guided_tl:traffic,PP-guided (traffic-last),maze-32-32-4,maze-32-32-4-random-1,50,2,30.0,solved,0.043999,0.008,3806,185,2927,2350,92,1.619574,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-maze-32-4/runs/pp_guided_tl_traffic/maze-32-32-4/maze-32-32-4-random-1_a50_s2_r0,,,"{""agents"": ""50"", ""comp_time"": ""8"", ""first_ms"": ""7.5"", ""makespan"": ""185"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""traffic-last"", ""pp_plan_ms"": ""5.1"", ""pp_plan_soc"": ""3806"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""2"", ""soc"": ""3806"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2950"", ""sum_of_loss_lb"": ""2350""}"
