solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
pp_guided_tl:shortest,PP-guided (shortest first),warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,2,30.0,solved,0.030146,0.007,4125,174,4125,4104,174,1.005117,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_shortest/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s2_r0,,,"{""agents"": ""50"", ""comp_time"": ""7"", ""first_ms"": ""7.7"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""4.0"", ""pp_plan_soc"": ""4125"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""2"", ""soc"": ""4125"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4125"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:shortest,PP-guided (shortest first),warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,1,30.0,solved,0.035094,0.008,4125,174,4125,4104,174,1.005117,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_shortest/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s1_r0,,,"{""agents"": ""50"", ""comp_time"": ""8"", ""first_ms"": ""7.7"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""4.0"", ""pp_plan_soc"": ""4125"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""1"", ""soc"": ""4125"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4125"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:shortest,PP-guided (shortest first),warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,0,30.0,solved,0.040381,0.007,4125,174,4125,4104,174,1.005117,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_shortest/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s0_r0,,,"{""agents"": ""50"", ""comp_time"": ""7"", ""first_ms"": ""7.7"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""4.0"", ""pp_plan_soc"": ""4125"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""0"", ""soc"": ""4125"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4125"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:shortest_tl,PP-guided (shortest first) + traffic load in SIPP,warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,0,30.0,solved,0.024762,0.013,4119,174,4119,4104,174,1.003655,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_shortest_tl/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s0_r0,,,"{""agents"": ""50"", ""comp_time"": ""13"", ""first_ms"": ""12.3"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""8.3"", ""pp_plan_soc"": ""4119"", ""pp_tl"": ""1"", ""pp_used"": ""1"", ""seed"": ""0"", ""soc"": ""4119"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4119"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:shortest_tl,PP-guided (shortest first) + traffic load in SIPP,warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,1,30.0,solved,0.123833,0.013,4119,174,4119,4104,174,1.003655,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_shortest_tl/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s1_r0,,,"{""agents"": ""50"", ""comp_time"": ""13"", ""first_ms"": ""12.3"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""8.4"", ""pp_plan_soc"": ""4119"", ""pp_tl"": ""1"", ""pp_used"": ""1"", ""seed"": ""1"", ""soc"": ""4119"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4119"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:shortest_tl,PP-guided (shortest first) + traffic load in SIPP,warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,2,30.0,solved,0.082402,0.013,4119,174,4119,4104,174,1.003655,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_shortest_tl/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s2_r0,,,"{""agents"": ""50"", ""comp_time"": ""13"", ""first_ms"": ""12.4"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""shortest"", ""pp_plan_ms"": ""8.4"", ""pp_plan_soc"": ""4119"", ""pp_tl"": ""1"", ""pp_used"": ""1"", ""seed"": ""2"", ""soc"": ""4119"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4119"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:traffic,PP-guided (traffic-last),warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,0,30.0,solved,0.066583,0.014,4790,174,4640,4104,174,1.167154,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_traffic/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s0_r0,,,"{""agents"": ""50"", ""comp_time"": ""14"", ""first_ms"": ""14.3"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""traffic-last"", ""pp_plan_ms"": ""11.0"", ""pp_plan_soc"": ""4790"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""0"", ""soc"": ""4790"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4646"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:traffic,PP-guided (traffic-last),warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,1,30.0,solved,0.060124,0.014,4790,174,4640,4104,174,1.167154,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_traffic/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s1_r0,,,"{""agents"": ""50"", ""comp_time"": ""14"", ""first_ms"": ""14.2"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""traffic-last"", ""pp_plan_ms"": ""10.8"", ""pp_plan_soc"": ""4790"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""1"", ""soc"": ""4790"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4646"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:traffic,PP-guided (traffic-last),warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,2,30.0,solved,0.062152,0.015,4790,174,4640,4104,174,1.167154,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_traffic/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s2_r0,,,"{""agents"": ""50"", ""comp_time"": ""15"", ""first_ms"": ""14.6"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""traffic-last"", ""pp_plan_ms"": ""11.0"", ""pp_plan_soc"": ""4790"", ""pp_tl"": ""0"", ""pp_used"": ""1"", ""seed"": ""2"", ""soc"": ""4790"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4646"", ""sum_of_loss_lb"": ""4104""}"
pp_guided_tl:traffic_tl,PP-guided (traffic-last) + traffic load in SIPP,warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,2,30.0,solved,0.040467,0.019,4596,174,4388,4104,174,1.119883,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/pptl-warehouse-10-20-2-1/runs/pp_guided_tl_traffic_tl/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s2_r0,,,"{""agents"": ""50"", ""comp_time"": ""19"", ""first_ms"": ""18.5"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""pp_demote_rounds"": ""0"", ""pp_failed"": ""0"", ""pp_order"": ""traffic-last"", ""pp_plan_ms"": ""12.8"", ""pp_plan_soc"": ""4596"", ""pp_tl"": ""1"", ""pp_used"": ""1"", ""seed"": ""2"", ""soc"": ""4596"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4393"", ""sum_of_loss_lb"": ""4104""}"
