solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",den312d,den312d-random-1,50,0,30.0,solved,0.053586,0.015,3010,103,2723,2612,103,1.152374,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_lacam/den312d/den312d-random-1_a50_s0_r0,3010,0.015,"{""agents"": ""50"", ""comp_time"": ""15"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""0"", ""soc"": ""3010"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2736"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",den312d,den312d-random-1,50,1,30.0,solved,0.022164,0.008,2958,103,2721,2612,103,1.132466,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_lacam/den312d/den312d-random-1_a50_s1_r0,2958,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""1"", ""soc"": ""2958"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2728"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",den312d,den312d-random-1,50,2,30.0,solved,0.037488,0.008,3042,103,2754,2612,103,1.164625,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_lacam/den312d/den312d-random-1_a50_s2_r0,3042,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""2"", ""soc"": ""3042"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2765"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",den312d,den312d-random-1,50,0,30.0,solved,0.031861,0.015,2791,103,2659,2612,103,1.06853,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_tl/den312d/den312d-random-1_a50_s0_r0,2791,0.015,"{""agents"": ""50"", ""comp_time"": ""15"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""0"", ""soc"": ""2791"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2665"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",den312d,den312d-random-1,50,1,30.0,solved,0.066722,0.032,2816,103,2659,2612,103,1.078101,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_tl/den312d/den312d-random-1_a50_s1_r0,2816,0.032,"{""agents"": ""50"", ""comp_time"": ""32"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""1"", ""soc"": ""2816"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2666"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",den312d,den312d-random-1,50,2,30.0,solved,0.047201,0.02,2819,103,2660,2612,103,1.07925,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_tl/den312d/den312d-random-1_a50_s2_r0,2819,0.02,"{""agents"": ""50"", ""comp_time"": ""20"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""2"", ""soc"": ""2819"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2667"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",den312d,den312d-random-1,50,0,30.0,solved,0.088998,0.031,2816,103,2657,2612,103,1.078101,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_tl_agent/den312d/den312d-random-1_a50_s0_r0,2816,0.031,"{""agents"": ""50"", ""comp_time"": ""31"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""0"", ""soc"": ""2816"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2664"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",den312d,den312d-random-1,50,1,30.0,solved,0.220238,0.101,2735,103,2654,2612,103,1.04709,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_tl_agent/den312d/den312d-random-1_a50_s1_r0,2735,0.101,"{""agents"": ""50"", ""comp_time"": ""101"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""1"", ""soc"": ""2735"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2658"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",den312d,den312d-random-1,50,2,30.0,solved,0.066051,0.023,2755,103,2658,2612,103,1.054747,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_tl_agent/den312d/den312d-random-1_a50_s2_r0,2755,0.023,"{""agents"": ""50"", ""comp_time"": ""23"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""2"", ""soc"": ""2755"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2663"", ""sum_of_loss_lb"": ""2612""}"
lg_lacam_fork:tl_static,LaCAM + traffic load (static map from starts),den312d,den312d-random-1,50,0,30.0,solved,0.083895,0.013,2931,103,2779,2612,103,1.122129,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-den312d/runs/lg_lacam_fork_tl_static/den312d/den312d-random-1_a50_s0_r0,2931,0.013,"{""agents"": ""50"", ""comp_time"": ""13"", ""makespan"": ""103"", ""makespan_lb"": ""103"", ""map_file"": ""den312d.map"", ""seed"": ""0"", ""soc"": ""2931"", ""soc_lb"": ""2612"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2787"", ""sum_of_loss_lb"": ""2612""}"
