solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.048669,0.029,1182,43,1015,961,43,1.229969,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_lacam/empty-32-32/empty-32-32-random-1_a50_s0_r0,1182,0.029,"{""agents"": ""50"", ""comp_time"": ""29"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""1182"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1036"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.049306,0.011,1170,43,1019,961,43,1.217482,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_lacam/empty-32-32/empty-32-32-random-1_a50_s1_r0,1170,0.011,"{""agents"": ""50"", ""comp_time"": ""11"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""1170"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1038"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.04094,0.017,1095,43,987,961,43,1.139438,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_tl/empty-32-32/empty-32-32-random-1_a50_s0_r0,1095,0.017,"{""agents"": ""50"", ""comp_time"": ""17"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""1095"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1002"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",empty-32-32,empty-32-32-random-1,50,2,30.0,solved,0.046369,0.007,1176,43,1023,961,43,1.223725,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_lacam/empty-32-32/empty-32-32-random-1_a50_s2_r0,1176,0.007,"{""agents"": ""50"", ""comp_time"": ""7"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""2"", ""soc"": ""1176"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1042"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.027369,0.008,1117,43,985,961,43,1.162331,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_tl/empty-32-32/empty-32-32-random-1_a50_s1_r0,1117,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""1117"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1001"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",empty-32-32,empty-32-32-random-1,50,2,30.0,solved,0.044297,0.009,1117,43,983,961,43,1.162331,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_tl/empty-32-32/empty-32-32-random-1_a50_s2_r0,1117,0.009,"{""agents"": ""50"", ""comp_time"": ""9"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""2"", ""soc"": ""1117"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""999"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.046615,0.012,1074,43,977,961,43,1.117586,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_tl_agent/empty-32-32/empty-32-32-random-1_a50_s0_r0,1074,0.012,"{""agents"": ""50"", ""comp_time"": ""12"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""1074"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""990"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",empty-32-32,empty-32-32-random-1,50,1,30.0,solved,0.029113,0.017,1115,43,979,961,43,1.16025,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_tl_agent/empty-32-32/empty-32-32-random-1_a50_s1_r0,1115,0.017,"{""agents"": ""50"", ""comp_time"": ""17"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""1"", ""soc"": ""1115"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""994"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",empty-32-32,empty-32-32-random-1,50,2,30.0,solved,0.028674,0.01,1075,43,978,961,43,1.118626,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_tl_agent/empty-32-32/empty-32-32-random-1_a50_s2_r0,1075,0.01,"{""agents"": ""50"", ""comp_time"": ""10"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""2"", ""soc"": ""1075"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""991"", ""sum_of_loss_lb"": ""961""}"
lg_lacam_fork:tl_static,LaCAM + traffic load (static map from starts),empty-32-32,empty-32-32-random-1,50,0,30.0,solved,0.091654,0.015,1149,43,1044,961,43,1.19563,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-empty32/runs/lg_lacam_fork_tl_static/empty-32-32/empty-32-32-random-1_a50_s0_r0,1149,0.015,"{""agents"": ""50"", ""comp_time"": ""15"", ""makespan"": ""43"", ""makespan_lb"": ""43"", ""map_file"": ""empty-32-32.map"", ""seed"": ""0"", ""soc"": ""1149"", ""soc_lb"": ""961"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1061"", ""sum_of_loss_lb"": ""961""}"
