solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",maze-32-32-4,maze-32-32-4-random-1,50,0,30.0,solved,0.050372,0.008,3047,92,2648,2350,92,1.296596,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_lacam/maze-32-32-4/maze-32-32-4-random-1_a50_s0_r0,3047,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""0"", ""soc"": ""3047"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2677"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",maze-32-32-4,maze-32-32-4-random-1,50,2,30.0,solved,0.092314,0.008,3102,92,2665,2350,92,1.32,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_lacam/maze-32-32-4/maze-32-32-4-random-1_a50_s2_r0,3102,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""2"", ""soc"": ""3102"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2702"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",maze-32-32-4,maze-32-32-4-random-1,50,1,30.0,solved,0.04728,0.013,3051,92,2627,2350,92,1.298298,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_lacam/maze-32-32-4/maze-32-32-4-random-1_a50_s1_r0,3051,0.013,"{""agents"": ""50"", ""comp_time"": ""13"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""1"", ""soc"": ""3051"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2656"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",maze-32-32-4,maze-32-32-4-random-1,50,0,30.0,solved,0.069071,0.009,2839,92,2534,2350,92,1.208085,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_tl/maze-32-32-4/maze-32-32-4-random-1_a50_s0_r0,2839,0.009,"{""agents"": ""50"", ""comp_time"": ""9"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""0"", ""soc"": ""2839"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2551"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",maze-32-32-4,maze-32-32-4-random-1,50,1,30.0,solved,0.046492,0.007,2814,92,2533,2350,92,1.197447,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_tl/maze-32-32-4/maze-32-32-4-random-1_a50_s1_r0,2814,0.007,"{""agents"": ""50"", ""comp_time"": ""7"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""1"", ""soc"": ""2814"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2549"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",maze-32-32-4,maze-32-32-4-random-1,50,2,30.0,solved,0.083217,0.01,2835,92,2531,2350,92,1.206383,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_tl/maze-32-32-4/maze-32-32-4-random-1_a50_s2_r0,2835,0.01,"{""agents"": ""50"", ""comp_time"": ""10"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""2"", ""soc"": ""2835"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2547"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",maze-32-32-4,maze-32-32-4-random-1,50,1,30.0,solved,0.022892,0.01,2771,92,2527,2350,92,1.179149,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_tl_agent/maze-32-32-4/maze-32-32-4-random-1_a50_s1_r0,2771,0.01,"{""agents"": ""50"", ""comp_time"": ""10"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""1"", ""soc"": ""2771"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2542"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",maze-32-32-4,maze-32-32-4-random-1,50,0,30.0,solved,0.034113,0.012,2771,92,2531,2350,92,1.179149,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_tl_agent/maze-32-32-4/maze-32-32-4-random-1_a50_s0_r0,2771,0.012,"{""agents"": ""50"", ""comp_time"": ""12"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""0"", ""soc"": ""2771"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2546"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",maze-32-32-4,maze-32-32-4-random-1,50,2,30.0,solved,0.049853,0.025,2722,92,2527,2350,92,1.158298,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_tl_agent/maze-32-32-4/maze-32-32-4-random-1_a50_s2_r0,2722,0.025,"{""agents"": ""50"", ""comp_time"": ""25"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""2"", ""soc"": ""2722"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2542"", ""sum_of_loss_lb"": ""2350""}"
lg_lacam_fork:tl_static,LaCAM + traffic load (static map from starts),maze-32-32-4,maze-32-32-4-random-1,50,0,30.0,solved,0.036623,0.019,3036,92,2642,2350,92,1.291915,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-maze-32-4/runs/lg_lacam_fork_tl_static/maze-32-32-4/maze-32-32-4-random-1_a50_s0_r0,3036,0.019,"{""agents"": ""50"", ""comp_time"": ""19"", ""makespan"": ""92"", ""makespan_lb"": ""92"", ""map_file"": ""maze-32-32-4.map"", ""seed"": ""0"", ""soc"": ""3036"", ""soc_lb"": ""2350"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""2667"", ""sum_of_loss_lb"": ""2350""}"
