solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",random-32-32-20,random-32-32-20-random-1,50,1,30.0,solved,0.027545,0.005,1469,49,1268,1082,48,1.357671,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_lacam/random-32-32-20/random-32-32-20-random-1_a50_s1_r0,1469,0.005,"{""agents"": ""50"", ""comp_time"": ""5"", ""makespan"": ""49"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""1"", ""soc"": ""1469"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1299"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",random-32-32-20,random-32-32-20-random-1,50,0,30.0,solved,0.124122,0.043,1426,50,1252,1082,48,1.31793,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_lacam/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,1426,0.043,"{""agents"": ""50"", ""comp_time"": ""43"", ""makespan"": ""50"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""0"", ""soc"": ""1426"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1277"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",random-32-32-20,random-32-32-20-random-1,50,2,30.0,solved,0.074329,0.006,1474,48,1294,1082,48,1.362292,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_lacam/random-32-32-20/random-32-32-20-random-1_a50_s2_r0,1474,0.006,"{""agents"": ""50"", ""comp_time"": ""6"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""2"", ""soc"": ""1474"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1324"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",random-32-32-20,random-32-32-20-random-1,50,0,30.0,solved,0.032311,0.011,1308,48,1183,1082,48,1.208872,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_tl/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,1308,0.011,"{""agents"": ""50"", ""comp_time"": ""11"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""0"", ""soc"": ""1308"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1202"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",random-32-32-20,random-32-32-20-random-1,50,1,30.0,solved,0.025267,0.007,1290,48,1179,1082,48,1.192237,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_tl_agent/random-32-32-20/random-32-32-20-random-1_a50_s1_r0,1290,0.007,"{""agents"": ""50"", ""comp_time"": ""7"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""1"", ""soc"": ""1290"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1197"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",random-32-32-20,random-32-32-20-random-1,50,2,30.0,solved,0.05084,0.027,1333,48,1191,1082,48,1.231978,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_tl/random-32-32-20/random-32-32-20-random-1_a50_s2_r0,1333,0.027,"{""agents"": ""50"", ""comp_time"": ""27"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""2"", ""soc"": ""1333"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1213"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",random-32-32-20,random-32-32-20-random-1,50,0,30.0,solved,0.076698,0.027,1333,48,1187,1082,48,1.231978,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_tl_agent/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,1333,0.027,"{""agents"": ""50"", ""comp_time"": ""27"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""0"", ""soc"": ""1333"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1209"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",random-32-32-20,random-32-32-20-random-1,50,1,30.0,solved,0.099852,0.011,1282,48,1177,1082,48,1.184843,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_tl/random-32-32-20/random-32-32-20-random-1_a50_s1_r0,1282,0.011,"{""agents"": ""50"", ""comp_time"": ""11"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""1"", ""soc"": ""1282"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1195"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",random-32-32-20,random-32-32-20-random-1,50,2,30.0,solved,0.035135,0.007,1295,48,1183,1082,48,1.196858,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_tl_agent/random-32-32-20/random-32-32-20-random-1_a50_s2_r0,1295,0.007,"{""agents"": ""50"", ""comp_time"": ""7"", ""makespan"": ""48"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""2"", ""soc"": ""1295"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1201"", ""sum_of_loss_lb"": ""1082""}"
lg_lacam_fork:tl_static,LaCAM + traffic load (static map from starts),random-32-32-20,random-32-32-20-random-1,50,0,30.0,solved,0.086091,0.051,1404,51,1252,1082,48,1.297597,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-random32-20/runs/lg_lacam_fork_tl_static/random-32-32-20/random-32-32-20-random-1_a50_s0_r0,1404,0.051,"{""agents"": ""50"", ""comp_time"": ""51"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""random-32-32-20.map"", ""seed"": ""0"", ""soc"": ""1404"", ""soc_lb"": ""1082"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1284"", ""sum_of_loss_lb"": ""1082""}"
