solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",room-32-32-4,room-32-32-4-random-1,50,1,30.0,solved,0.049455,0.011,1701,56,1593,1320,48,1.288636,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_lacam/room-32-32-4/room-32-32-4-random-1_a50_s1_r0,1701,0.011,"{""agents"": ""50"", ""comp_time"": ""11"", ""makespan"": ""56"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""1"", ""soc"": ""1701"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1610"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",room-32-32-4,room-32-32-4-random-1,50,2,30.0,solved,0.027839,0.007,1682,55,1553,1320,48,1.274242,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_lacam/room-32-32-4/room-32-32-4-random-1_a50_s2_r0,1682,0.007,"{""agents"": ""50"", ""comp_time"": ""7"", ""makespan"": ""55"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""2"", ""soc"": ""1682"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1566"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",room-32-32-4,room-32-32-4-random-1,50,0,30.0,solved,0.02906,0.009,1652,51,1514,1320,48,1.251515,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_lacam/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,1652,0.009,"{""agents"": ""50"", ""comp_time"": ""9"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""0"", ""soc"": ""1652"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1533"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",room-32-32-4,room-32-32-4-random-1,50,0,30.0,solved,0.038804,0.014,1625,49,1467,1320,48,1.231061,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_tl/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,1625,0.014,"{""agents"": ""50"", ""comp_time"": ""14"", ""makespan"": ""49"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""0"", ""soc"": ""1625"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1483"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",room-32-32-4,room-32-32-4-random-1,50,1,30.0,solved,0.047308,0.01,1641,50,1488,1320,48,1.243182,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_tl/room-32-32-4/room-32-32-4-random-1_a50_s1_r0,1641,0.01,"{""agents"": ""50"", ""comp_time"": ""10"", ""makespan"": ""50"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""1"", ""soc"": ""1641"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1506"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",room-32-32-4,room-32-32-4-random-1,50,2,30.0,solved,0.052023,0.018,1594,49,1471,1320,48,1.207576,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_tl/room-32-32-4/room-32-32-4-random-1_a50_s2_r0,1594,0.018,"{""agents"": ""50"", ""comp_time"": ""18"", ""makespan"": ""49"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""2"", ""soc"": ""1594"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1483"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",room-32-32-4,room-32-32-4-random-1,50,0,30.0,solved,0.047645,0.013,1637,51,1477,1320,48,1.240152,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_tl_agent/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,1637,0.013,"{""agents"": ""50"", ""comp_time"": ""13"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""0"", ""soc"": ""1637"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1494"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",room-32-32-4,room-32-32-4-random-1,50,1,30.0,solved,0.071667,0.007,1630,50,1490,1320,48,1.234848,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_tl_agent/room-32-32-4/room-32-32-4-random-1_a50_s1_r0,1630,0.007,"{""agents"": ""50"", ""comp_time"": ""7"", ""makespan"": ""50"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""1"", ""soc"": ""1630"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1507"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",room-32-32-4,room-32-32-4-random-1,50,2,30.0,solved,0.025559,0.008,1603,49,1461,1320,48,1.214394,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_tl_agent/room-32-32-4/room-32-32-4-random-1_a50_s2_r0,1603,0.008,"{""agents"": ""50"", ""comp_time"": ""8"", ""makespan"": ""49"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""2"", ""soc"": ""1603"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1476"", ""sum_of_loss_lb"": ""1320""}"
lg_lacam_fork:tl_static,LaCAM + traffic load (static map from starts),room-32-32-4,room-32-32-4-random-1,50,0,30.0,solved,0.061776,0.006,1648,51,1500,1320,48,1.248485,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-room-32-4/runs/lg_lacam_fork_tl_static/room-32-32-4/room-32-32-4-random-1_a50_s0_r0,1648,0.006,"{""agents"": ""50"", ""comp_time"": ""6"", ""makespan"": ""51"", ""makespan_lb"": ""48"", ""map_file"": ""room-32-32-4.map"", ""seed"": ""0"", ""soc"": ""1648"", ""soc_lb"": ""1320"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""1515"", ""sum_of_loss_lb"": ""1320""}"
