solver_id,solver_label,map,scen,agents,seed,timeout,status,wallclock_s,solver_time_s,soc,makespan,sum_of_loss,soc_lb,makespan_lb,soc_ratio,exit_code,error,run_dir,first_soc,first_time_s,solver_stats
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,1,30.0,solved,0.086604,0.016,5563,174,4773,4104,174,1.355507,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_lacam/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s1_r0,5563,0.016,"{""agents"": ""50"", ""comp_time"": ""16"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""1"", ""soc"": ""5563"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4797"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,2,30.0,solved,0.047499,0.025,5265,202,4520,4104,174,1.282895,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_lacam/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s2_r0,5265,0.025,"{""agents"": ""50"", ""comp_time"": ""25"", ""makespan"": ""202"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""2"", ""soc"": ""5265"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4539"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:lacam,"LaCAM (no guidance, first solution)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,0,30.0,solved,0.054388,0.014,5229,192,4528,4104,174,1.274123,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_lacam/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s0_r0,5229,0.014,"{""agents"": ""50"", ""comp_time"": ""14"", ""makespan"": ""192"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""0"", ""soc"": ""5229"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4546"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,0,30.0,solved,0.181059,0.046,4900,174,4353,4104,174,1.193957,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_tl/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s0_r0,4900,0.046,"{""agents"": ""50"", ""comp_time"": ""46"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""0"", ""soc"": ""4900"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4373"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,1,30.0,solved,0.10719,0.056,5017,174,4404,4104,174,1.222466,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_tl/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s1_r0,5017,0.056,"{""agents"": ""50"", ""comp_time"": ""56"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""1"", ""soc"": ""5017"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4427"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,1,30.0,solved,0.100845,0.04,5195,174,4428,4104,174,1.265838,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_tl_agent/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s1_r0,5195,0.04,"{""agents"": ""50"", ""comp_time"": ""40"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""1"", ""soc"": ""5195"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4453"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:tl,"LaCAM + traffic load (tie-break, per config)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,2,30.0,solved,0.187644,0.108,4937,177,4300,4104,174,1.202973,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_tl/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s2_r0,4937,0.108,"{""agents"": ""50"", ""comp_time"": ""108"", ""makespan"": ""177"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""2"", ""soc"": ""4937"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4319"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,0,30.0,solved,0.076158,0.046,4903,174,4257,4104,174,1.194688,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_tl_agent/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s0_r0,4903,0.046,"{""agents"": ""50"", ""comp_time"": ""46"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""0"", ""soc"": ""4903"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4275"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:tl_agent,"LaCAM + traffic load (tie-break, per agent)",warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,2,30.0,solved,0.103933,0.041,5091,174,4409,4104,174,1.240497,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_tl_agent/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s2_r0,5091,0.041,"{""agents"": ""50"", ""comp_time"": ""41"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""2"", ""soc"": ""5091"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4431"", ""sum_of_loss_lb"": ""4104""}"
lg_lacam_fork:tl_static,LaCAM + traffic load (static map from starts),warehouse-10-20-10-2-1,warehouse-10-20-10-2-1-random-1,50,0,30.0,solved,0.059805,0.037,5592,174,4781,4104,174,1.362573,0,,/home/carsten/Projects/MAPF/MAPF Evaluator/results/tlcpp-warehouse-10-20-2-1/runs/lg_lacam_fork_tl_static/warehouse-10-20-10-2-1/warehouse-10-20-10-2-1-random-1_a50_s0_r0,5592,0.037,"{""agents"": ""50"", ""comp_time"": ""37"", ""makespan"": ""174"", ""makespan_lb"": ""174"", ""map_file"": ""warehouse-10-20-10-2-1.map"", ""seed"": ""0"", ""soc"": ""5592"", ""soc_lb"": ""4104"", ""solved"": ""1"", ""solver"": ""planner"", ""sum_of_loss"": ""4808"", ""sum_of_loss_lb"": ""4104""}"
